,icd_code,icd_version,description
4835,20208  ,9,"Nodular lymphoma, lymph nodes of multiple sites"
4836,7051   ,9,Prickly heat
4837,59659  ,9,Other functional disorder of bladder
4838,Z5112  ,10,Encounter for antineoplastic immunotherapy
4839,5111   ,9,"Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis"
4840,20203  ,9,"Nodular lymphoma, intra-abdominal lymph nodes"
4841,0419   ,9,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
4842,6256   ,9,"Stress incontinence, female"
4843,7012   ,9,Acquired acanthosis nigricans
4844,M793   ,10,"Panniculitis, unspecified"
4845,N393   ,10,Stress incontinence (female) (male)
4846,E1100  ,10,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
4847,4941   ,9,Bronchiectasis with acute exacerbation
4848,F458   ,10,Other somatoform disorders
4849,G932   ,10,Benign intracranial hypertension
4850,G43919 ,10,"Migraine, unspecified, intractable, without status migrainosus"
4851,F459   ,10,"Somatoform disorder, unspecified"
4852,Z6845  ,10,"Body mass index (BMI) 70 or greater, adult"
4853,H53149 ,10,"Visual discomfort, unspecified"
4854,99678  ,9,"Other complications due to other internal orthopedic device, implant, and graft"
4855,24280  ,9,Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm
4856,8056   ,9,Closed fracture of sacrum and coccyx without mention of spinal cord injury
4857,81603  ,9,Closed fracture of multiple sites of phalanx or phalanges of hand
4858,30410  ,9,"Sedative, hypnotic or anxiolytic dependence, unspecified"
4859,8064   ,9,Closed fracture of lumbar spine with spinal cord injury
4860,G7001  ,10,Myasthenia gravis with (acute) exacerbation
4861,D150   ,10,Benign neoplasm of thymus
4862,G7000  ,10,Myasthenia gravis without (acute) exacerbation
4863,M21371 ,10,"Foot drop, right foot"
4864,C37    ,10,Malignant neoplasm of thymus
4865,I4430  ,10,Unspecified atrioventricular block
4866,71109  ,9,"Pyogenic arthritis, multiple sites"
4867,J42    ,10,Unspecified chronic bronchitis
4868,7538   ,9,Other specified anomalies of bladder and urethra
4869,4778   ,9,Allergic rhinitis due to other allergen
4870,52540  ,9,"Complete edentulism, unspecified"
4871,52510  ,9,"Acquired absence of teeth, unspecified"
4872,6931   ,9,Dermatitis due to food taken internally
4873,52109  ,9,Other dental caries
4874,3158   ,9,Other specified delays in development
4875,4770   ,9,Allergic rhinitis due to pollen
4876,R7611  ,10,Nonspecific reaction to tuberculin skin test without active tuberculosis
4877,R591   ,10,Generalized enlarged lymph nodes
4878,N946   ,10,"Dysmenorrhea, unspecified"
4879,N920   ,10,Excessive and frequent menstruation with regular cycle
4880,2273   ,9,Benign neoplasm of pituitary gland and craniopharyngeal duct
4881,O9842  ,10,Viral hepatitis complicating childbirth
4882,O99113 ,10,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, third trimester"
4883,O721   ,10,Other immediate postpartum hemorrhage
4884,O09523 ,10,"Supervision of elderly multigravida, third trimester"
4885,O9081  ,10,Anemia of the puerperium
4886,O9963  ,10,Diseases of the digestive system complicating the puerperium
4887,O99285 ,10,"Endocrine, nutritional and metabolic diseases complicating the puerperium"
4888,Y92039 ,10,Unspecified place in apartment as the place of occurrence of the external cause
4889,I70202 ,10,"Unspecified atherosclerosis of native arteries of extremities, left leg"
4890,7352   ,9,Hallux rigidus
4891,73671  ,9,Acquired equinovarus deformity
4892,V5812  ,9,Encounter for antineoplastic immunotherapy
4893,V6403  ,9,Vaccination not carried out because of immune compromised state
4894,Z9489  ,10,Other transplanted organ and tissue status
4895,Z8051  ,10,Family history of malignant neoplasm of kidney
4896,J3801  ,10,"Paralysis of vocal cords and larynx, unilateral"
4897,R443   ,10,"Hallucinations, unspecified"
4898,V1021  ,9,Personal history of malignant neoplasm of larynx
4899,2115   ,9,Benign neoplasm of liver and biliary passages
4900,J9503  ,10,Malfunction of tracheostomy stoma
4901,J387   ,10,Other diseases of larynx
4902,J989   ,10,"Respiratory disorder, unspecified"
4903,I425   ,10,Other restrictive cardiomyopathy
4904,M8000XA,10,"Age-related osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture"
4905,D862   ,10,Sarcoidosis of lung with sarcoidosis of lymph nodes
4906,D8685  ,10,Sarcoid myocarditis
4907,K82A2  ,10,Perforation of gallbladder in cholecystitis
4908,D61810 ,10,Antineoplastic chemotherapy induced pancytopenia
4909,30470  ,9,"Combinations of opioid type drug with any other drug dependence, unspecified"
4910,20502  ,9,"Acute myeloid leukemia, in relapse"
4911,28809  ,9,Other neutropenia
4912,8404   ,9,Rotator cuff (capsule) sprain
4913,E9347  ,9,Natural blood and blood products causing adverse effects in therapeutic use
4914,E9466  ,9,"Anti-infectives and other drugs and preparations for ear, nose, and throat causing adverse effects in therapeutic use"
4915,2842   ,9,Myelophthisis
4916,G40509 ,10,"Epileptic seizures related to external causes, not intractable, without status epilepticus"
4917,Y990   ,10,Civilian activity done for income or pay
4918,I82491 ,10,Acute embolism and thrombosis of other specified deep vein of right lower extremity
4919,07811  ,9,Condyloma acuminatum
4920,41042  ,9,"Acute myocardial infarction of other inferior wall, subsequent episode of care"
4921,E9433  ,9,"Other cathartics, including intestinal atonia drugs, causing adverse effects in therapeutic use"
4922,E9170  ,9,Striking against or struck accidentally by objects or persons in sports
4923,E8494  ,9,Accidents occurring in place for recreation and sport
4924,E0073  ,9,Activities involving baseball
4925,8911   ,9,"Open wound of knee, leg [except thigh], and ankle, complicated"
4926,T39015A,10,"Adverse effect of aspirin, initial encounter"
4927,43822  ,9,"Late effects of cerebrovascular disease, hemiplegia affecting nondominant side"
4928,43401  ,9,Cerebral thrombosis with cerebral infarction
4929,E8708  ,9,"Accidental cut, puncture, perforation or hemorrhage during other specified medical care"
4930,L97421 ,10,Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin
4931,G459   ,10,"Transient cerebral ischemic attack, unspecified"
4932,I725   ,10,Aneurysm of other precerebral arteries
4933,D3A8   ,10,Other benign neuroendocrine tumors
4934,I052   ,10,Rheumatic mitral stenosis with insufficiency
4935,I0981  ,10,Rheumatic heart failure
4936,E113599,10,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye"
4937,D151   ,10,Benign neoplasm of heart
4938,T41295A,10,"Adverse effect of other general anesthetics, initial encounter"
4939,G8912  ,10,Acute post-thoracotomy pain
4940,K056   ,10,"Periodontal disease, unspecified"
4941,H4010X0,10,"Unspecified open-angle glaucoma, stage unspecified"
4942,R29717 ,10,NIHSS score 17
4943,L89629 ,10,"Pressure ulcer of left heel, unspecified stage"
4944,L89619 ,10,"Pressure ulcer of right heel, unspecified stage"
4945,36570  ,9,"Glaucoma stage, unspecified"
4946,D1724  ,10,Benign lipomatous neoplasm of skin and subcutaneous tissue of left leg
4947,G510   ,10,Bell's palsy
4948,Z85110 ,10,Personal history of malignant carcinoid tumor of bronchus and lung
4949,M6258  ,10,"Muscle wasting and atrophy, not elsewhere classified, other site"
4950,20921  ,9,Malignant carcinoid tumor of the bronchus and lung
4951,4417   ,9,"Thoracoabdominal aneurysm, without mention of rupture"
4952,72973  ,9,Nontraumatic compartment syndrome of abdomen
4953,V741   ,9,Screening examination for pulmonary tuberculosis
4954,R6510  ,10,Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction
4955,B251   ,10,Cytomegaloviral hepatitis
4956,B258   ,10,Other cytomegaloviral diseases
4957,V5413  ,9,Aftercare for healing traumatic fracture of hip
4958,4530   ,9,Budd-chiari syndrome
4959,V427   ,9,Liver replaced by transplant
4960,V072   ,9,Need for prophylactic immunotherapy
4961,2386   ,9,Neoplasm of uncertain behavior of plasma cells
4962,0527   ,9,Chickenpox with other specified complications
4963,94204  ,9,Burn of unspecified degree of back [any part]
4964,R0609  ,10,Other forms of dyspnea
4965,E2839  ,10,Other primary ovarian failure
4966,M1991  ,10,"Primary osteoarthritis, unspecified site"
4967,D72828 ,10,Other elevated white blood cell count
4968,27903  ,9,Other selective immunoglobulin deficiencies
4969,71516  ,9,"Osteoarthrosis, localized, primary, lower leg"
4970,75683  ,9,Ehlers-Danlos syndrome
4971,D803   ,10,Selective deficiency of immunoglobulin G [IgG] subclasses
4972,Q7961  ,10,Classical Ehlers-Danlos syndrome
4973,T84125A,10,"Displacement of internal fixation device of left femur, initial encounter"
4974,M84652K,10,"Pathological fracture in other disease, left femur, subsequent encounter for fracture with nonunion"
4975,L905   ,10,Scar conditions and fibrosis of skin
4976,F450   ,10,Somatization disorder
4977,F6081  ,10,Narcissistic personality disorder
4978,T84623A,10,"Infection and inflammatory reaction due to internal fixation device of left tibia, initial encounter"
4979,T84197A,10,"Other mechanical complication of internal fixation device of bone of left lower leg, initial encounter"
4980,25639  ,9,Other ovarian failure
4981,M21062 ,10,"Valgus deformity, not elsewhere classified, left knee"
4982,S83282A,10,"Other tear of lateral meniscus, current injury, left knee, initial encounter"
4983,87364  ,9,"Open wound of tongue and floor of mouth, without mention of complication"
4984,E9283  ,9,Human bite
4985,3068   ,9,Other specified psychophysiological malfunction
4986,99701  ,9,Central nervous system complication
4987,3481   ,9,Anoxic brain damage
4988,V1090  ,9,Personal history of unspecified malignant neoplasm
4989,28243  ,9,Alpha thalassemia
4990,M00052 ,10,"Staphylococcal arthritis, left hip"
4991,D802   ,10,Selective deficiency of immunoglobulin A [IgA]
4992,R092   ,10,Respiratory arrest
4993,M00852 ,10,"Arthritis due to other bacteria, left hip"
4994,M00811 ,10,"Arthritis due to other bacteria, right shoulder"
4995,H3093  ,10,"Unspecified chorioretinal inflammation, bilateral"
4996,L89010 ,10,"Pressure ulcer of right elbow, unstageable"
4997,M60011 ,10,"Infective myositis, right shoulder"
4998,I76    ,10,Septic arterial embolism
4999,H30893 ,10,"Other chorioretinal inflammations, bilateral"
5000,3313   ,9,Communicating hydrocephalus
5001,37701  ,9,Papilledema associated with increased intracranial pressure
5002,2379   ,9,Neoplasm of uncertain behavior of other and unspecified parts of nervous system
5003,V5301  ,9,Fitting and adjustment of cerebral ventricular (communicating) shunt
5004,72401  ,9,"Spinal stenosis, thoracic region"
5005,I70212 ,10,"Atherosclerosis of native arteries of extremities with intermittent claudication, left leg"
5006,C8300  ,10,"Small cell B-cell lymphoma, unspecified site"
5007,I70223 ,10,"Atherosclerosis of native arteries of extremities with rest pain, bilateral legs"
5008,R4781  ,10,Slurred speech
5009,L819   ,10,"Disorder of pigmentation, unspecified"
5010,G8104  ,10,Flaccid hemiplegia affecting left nondominant side
5011,B91    ,10,Sequelae of poliomyelitis
5012,138    ,9,Late effects of acute poliomyelitis
5013,73689  ,9,Other acquired deformity of other parts of limb
5014,37272  ,9,Conjunctival hemorrhage
5015,9210   ,9,"Black eye, not otherwise specified"
5016,V065   ,9,Need for prophylactic vaccination and inoculation against tetanus-diphtheria [Td] (DT)
5017,8028   ,9,Closed fracture of other facial bones
5018,34680  ,9,"Other forms of migraine, without mention of intractable migraine without mention of status migrainosus"
5019,3643   ,9,Unspecified iridocyclitis
5020,07810  ,9,"Viral warts, unspecified"
5021,L989   ,10,"Disorder of the skin and subcutaneous tissue, unspecified"
5022,E9460  ,9,Local anti-infectives and anti-inflammatory drugs causing adverse effects in therapeutic use
5023,Z5321  ,10,Procedure and treatment not carried out due to patient leaving prior to being seen by health care provider
5024,J1008  ,10,Influenza due to other identified influenza virus with other specified pneumonia
5025,Z9011  ,10,Acquired absence of right breast and nipple
5026,C768   ,10,Malignant neoplasm of other specified ill-defined sites
5027,5994   ,9,Urethral false passage
5028,9522   ,9,Lumbar spinal cord injury without evidence of spinal bone injury
5029,99709  ,9,Other nervous system complications
5030,3369   ,9,Unspecified disease of spinal cord
5031,78904  ,9,"Abdominal pain, left lower quadrant"
5032,9093   ,9,Late effect of complications of surgical and medical care
5033,8630   ,9,"Injury to stomach, without mention of open wound into cavity"
5034,78723  ,9,"Dysphagia, pharyngeal phase"
5035,37850  ,9,"Paralytic strabismus, unspecified"
5036,3509   ,9,"Trigeminal nerve disorder, unspecified"
5037,E0580  ,10,Other thyrotoxicosis without thyrotoxic crisis or storm
5038,G8311  ,10,Monoplegia of lower limb affecting right dominant side
5039,G8314  ,10,Monoplegia of lower limb affecting left nondominant side
5040,E064   ,10,Drug-induced thyroiditis
5041,3315   ,9,Idiopathic normal pressure hydrocephalus (INPH)
5042,99769  ,9,Other amputation stump complication
5043,37273  ,9,Conjunctival edema
5044,58189  ,9,Nephrotic syndrome with other specified pathological lesion in kidney
5045,M10071 ,10,"Idiopathic gout, right ankle and foot"
5046,500    ,9,Coal workers' pneumoconiosis
5047,7015   ,9,Other abnormal granulation tissue
5048,G40911 ,10,"Epilepsy, unspecified, intractable, with status epilepticus"
5049,5192   ,9,Mediastinitis
5050,C761   ,10,Malignant neoplasm of thorax
5051,R222   ,10,"Localized swelling, mass and lump, trunk"
5052,L539   ,10,"Erythematous condition, unspecified"
5053,F10259 ,10,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
5054,T82598A,10,"Other mechanical complication of other cardiac and vascular devices and implants, initial encounter"
5055,C50919 ,10,Malignant neoplasm of unspecified site of unspecified female breast
5056,71691  ,9,"Arthropathy, unspecified, shoulder region"
5057,V1242  ,9,Personal history of infections of the central nervous system
5058,81305  ,9,Closed fracture of head of radius
5059,E8849  ,9,Other accidental fall from one level to another
5060,87349  ,9,"Open wound of other and multiple sites of face, without mention of complication"
5061,86601  ,9,"Injury to kidney without mention of open wound into cavity, hematoma without rupture of capsule"
5062,K440   ,10,"Diaphragmatic hernia with obstruction, without gangrene"
5063,S42211A,10,"Unspecified displaced fracture of surgical neck of right humerus, initial encounter for closed fracture"
5064,66614  ,9,"Other immediate postpartum hemorrhage, postpartum condition or complication"
5065,66914  ,9,"Shock during or following labor and delivery, postpartum condition or complication"
5066,64824  ,9,"Anemia of mother, postpartum condition or complication"
5067,45389  ,9,Acute venous embolism and thrombosis of other specified veins
5068,37239  ,9,Other conjunctivitis
5069,I25719 ,10,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris
5070,I97610 ,10,Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization
5071,T50996A,10,"Underdosing of other drugs, medicaments and biological substances, initial encounter"
5072,T486X6A,10,"Underdosing of antiasthmatics, initial encounter"
5073,T443X6A,10,"Underdosing of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, initial encounter"
5074,9052   ,9,Late effect of fracture of upper extremities
5075,2922   ,9,Pathological drug intoxication
5076,37840  ,9,"Heterophoria, unspecified"
5077,2375   ,9,Neoplasm of uncertain behavior of brain and spinal cord
5078,73819  ,9,Other specified acquired deformity of head
5079,78930  ,9,"Abdominal or pelvic swelling, mass, or lump, unspecified site"
5080,40290  ,9,Unspecified hypertensive heart disease without heart failure
5081,V1091  ,9,Personal history of malignant neuroendocrine tumor
5082,20903  ,9,Malignant carcinoid tumor of the ileum
5083,20974  ,9,Secondary neuroendocrine tumor of peritoneum
5084,20965  ,9,"Benign carcinoid tumor of foregut, not otherwise specified"
5085,J4521  ,10,Mild intermittent asthma with (acute) exacerbation
5086,Z85060 ,10,Personal history of malignant carcinoid tumor of small intestine
5087,V4961  ,9,Thumb amputation status
5088,S301XXA,10,"Contusion of abdominal wall, initial encounter"
5089,9984   ,9,Foreign body accidentally left during a procedure
5090,7470   ,9,Patent ductus arteriosus
5091,E8717  ,9,Foreign object left in body during removal of catheter or packing
5092,G4761  ,10,Periodic limb movement disorder
5093,E1052  ,10,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene
5094,J9562  ,10,Intraoperative hemorrhage and hematoma of a respiratory system organ or structure complicating other procedure
5095,L404   ,10,Guttate psoriasis
5096,N485   ,10,Ulcer of penis
5097,L570   ,10,Actinic keratosis
5098,L0100  ,10,"Impetigo, unspecified"
5099,T490X6A,10,"Underdosing of local antifungal, anti-infective and anti-inflammatory drugs, initial encounter"
5100,R0489  ,10,Hemorrhage from other sites in respiratory passages
5101,L4050  ,10,"Arthropathic psoriasis, unspecified"
5102,20158  ,9,"Hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites"
5103,52809  ,9,Other stomatitis and mucositis (ulcerative)
5104,35782  ,9,Critical illness polyneuropathy
5105,20150  ,9,"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites"
5106,9995   ,9,"Other serum reaction, not elsewhere classified"
5107,9095   ,9,"Late effect of adverse effect of drug, medicinal or biological substance"
5108,075    ,9,Infectious mononucleosis
5109,3209   ,9,Meningitis due to unspecified bacterium
5110,37430  ,9,"Ptosis of eyelid, unspecified"
5111,78937  ,9,"Abdominal or pelvic swelling, mass, or lump, generalized"
5112,220    ,9,Benign neoplasm of ovary
5113,3589   ,9,"Myoneural disorders, unspecified"
5114,37810  ,9,"Exotropia, unspecified"
5115,K91841 ,10,Postprocedural hemorrhage of a digestive system organ or structure following other procedure
5116,N130   ,10,Hydronephrosis with ureteropelvic junction obstruction
5117,5829   ,9,Chronic glomerulonephritis with unspecified pathological lesion in kidney
5118,9593   ,9,"Elbow, forearm, and wrist injury"
5119,9160   ,9,"Abrasion or friction burn of hip, thigh, leg, and ankle, without mention of infection"
5120,A318   ,10,Other mycobacterial infections
5121,Y92538 ,10,Other ambulatory health services establishments as the place of occurrence of the external cause
5122,H5441  ,10,"Blindness, right eye, normal vision left eye"
5123,Z89419 ,10,Acquired absence of unspecified great toe
5124,T45615A,10,"Adverse effect of thrombolytic drugs, initial encounter"
5125,I70709 ,10,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, unspecified extremity"
5126,E113591,10,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye"
5127,H5461  ,10,"Unqualified visual loss, right eye, normal vision left eye"
5128,Z09    ,10,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
5129,5988   ,9,Other specified causes of urethral stricture
5130,Q909   ,10,"Down syndrome, unspecified"
5131,K739   ,10,"Chronic hepatitis, unspecified"
5132,T17220A,10,"Food in pharynx causing asphyxiation, initial encounter"
5133,M7552  ,10,Bursitis of left shoulder
5134,M7551  ,10,Bursitis of right shoulder
5135,Z947   ,10,Corneal transplant status
5136,R220   ,10,"Localized swelling, mass and lump, head"
5137,24291  ,9,"Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm"
5138,2521   ,9,Hypoparathyroidism
5139,E209   ,10,"Hypoparathyroidism, unspecified"
5140,30463  ,9,"Other specified drug dependence, in remission"
5141,F4312  ,10,"Post-traumatic stress disorder, chronic"
5142,F13229 ,10,"Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified"
5143,S61519A,10,"Laceration without foreign body of unspecified wrist, initial encounter"
5144,X781XXA,10,"Intentional self-harm by knife, initial encounter"
5145,F508   ,10,Other eating disorders
5146,E9454  ,9,Antitussives causing adverse effects in therapeutic use
5147,Z87892 ,10,Personal history of anaphylaxis
5148,K50911 ,10,"Crohn's disease, unspecified, with rectal bleeding"
5149,T65891A,10,"Toxic effect of other specified substances, accidental (unintentional), initial encounter"
5150,I673   ,10,Progressive vascular leukoencephalopathy
5151,29012  ,9,Presenile dementia with delusional features
5152,E9442  ,9,Carbonic acid anhydrase inhibitors causing adverse effects in therapeutic use
5153,56032  ,9,Fecal impaction
5154,53082  ,9,Esophageal hemorrhage
5155,29623  ,9,"Major depressive affective disorder, single episode, severe, without mention of psychotic behavior"
5156,71538  ,9,"Osteoarthrosis, localized, not specified whether primary or secondary, other specified sites"
5157,4820   ,9,Pneumonia due to Klebsiella pneumoniae
5158,T82857A,10,"Stenosis of other cardiac prosthetic devices, implants and grafts, initial encounter"
5159,J129   ,10,"Viral pneumonia, unspecified"
5160,M8589  ,10,"Other specified disorders of bone density and structure, multiple sites"
5161,9999   ,9,"Other and unspecified complications of medical care, not elsewhere classified"
5162,E8789  ,9,"Unspecified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
5163,2441   ,9,Other postablative hypothyroidism
5164,24200  ,9,Toxic diffuse goiter without mention of thyrotoxic crisis or storm
5165,38830  ,9,"Tinnitus, unspecified"
5166,7993   ,9,"Debility, unspecified"
5167,71611  ,9,"Traumatic arthropathy, shoulder region"
5168,2911   ,9,Alcohol-induced persisting amnestic disorder
5169,V0261  ,9,Hepatitis B carrier
5170,1984   ,9,Secondary malignant neoplasm of other parts of nervous system
5171,1958   ,9,Malignant neoplasm of other specified sites
5172,6119   ,9,Unspecified breast disorder
5173,D838   ,10,Other common variable immunodeficiencies
5174,L982   ,10,Febrile neutrophilic dermatosis [Sweet]
5175,T17890A,10,"Other foreign object in other parts of respiratory tract causing asphyxiation, initial encounter"
5176,D804   ,10,Selective deficiency of immunoglobulin M [IgM]
5177,Z5731  ,10,Occupational exposure to environmental tobacco smoke
5178,J948   ,10,Other specified pleural conditions
5179,29653  ,9,"Bipolar I disorder, most recent episode (or current) depressed, severe, without mention of psychotic behavior"
5180,30523  ,9,"Cannabis abuse, in remission"
5181,V7109  ,9,Observation for other suspected mental condition
5182,6179   ,9,"Endometriosis, site unspecified"
5183,72982  ,9,Cramp of limb
5184,28989  ,9,Other specified diseases of blood and blood-forming organs
5185,71107  ,9,"Pyogenic arthritis, ankle and foot"
5186,E1036  ,10,Type 1 diabetes mellitus with diabetic cataract
5187,H25033 ,10,"Anterior subcapsular polar age-related cataract, bilateral"
5188,I610   ,10,"Nontraumatic intracerebral hemorrhage in hemisphere, subcortical"
5189,R29700 ,10,NIHSS score 0
5190,7593   ,9,Situs inversus
5191,85201  ,9,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
5192,E0010  ,9,"Activities involving walking, marching and hiking"
5193,29533  ,9,"Paranoid type schizophrenia, subchronic with acute exacerbation"
5194,9800   ,9,Toxic effect of ethyl alcohol
5195,7093   ,9,Degenerative skin disorders
5196,V1002  ,9,Personal history of malignant neoplasm of other and unspecified oral cavity and pharynx
5197,80605  ,9,Closed fracture of C5-C7 level with unspecified spinal cord injury
5198,48282  ,9,Pneumonia due to escherichia coli [E. coli]
5199,K7210  ,10,Chronic hepatic failure without coma
5200,5735   ,9,Hepatopulmonary syndrome
5201,I748   ,10,Embolism and thrombosis of other arteries
5202,J679   ,10,Hypersensitivity pneumonitis due to unspecified organic dust
5203,5272   ,9,Sialoadenitis
5204,D860   ,10,Sarcoidosis of lung
5205,T8132XA,10,"Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter"
5206,L03313 ,10,Cellulitis of chest wall
5207,Y813   ,10,"Surgical instruments, materials and general- and plastic-surgery devices (including sutures) associated with adverse incidents"
5208,S36892A,10,"Contusion of other intra-abdominal organs, initial encounter"
5209,S7002XA,10,"Contusion of left hip, initial encounter"
5210,L89222 ,10,"Pressure ulcer of left hip, stage 2"
5211,L89212 ,10,"Pressure ulcer of right hip, stage 2"
5212,Y93B9  ,10,"Activity, other involving muscle strengthening exercises"
5213,Y92198 ,10,Other place in other specified residential institution as the place of occurrence of the external cause
5214,Z87311 ,10,Personal history of (healed) other pathological fracture
5215,S32059A,10,"Unspecified fracture of fifth lumbar vertebra, initial encounter for closed fracture"
5216,S72001A,10,"Fracture of unspecified part of neck of right femur, initial encounter for closed fracture"
5217,36520  ,9,"Primary angle-closure glaucoma, unspecified"
5218,S12100A,10,"Unspecified displaced fracture of second cervical vertebra, initial encounter for closed fracture"
5219,J0510  ,10,Acute epiglottitis without obstruction
5220,C8299  ,10,"Follicular lymphoma, unspecified, extranodal and solid organ sites"
5221,K130   ,10,Diseases of lips
5222,B001   ,10,Herpesviral vesicular dermatitis
5223,S82032A,10,"Displaced transverse fracture of left patella, initial encounter for closed fracture"
5224,W000XXA,10,"Fall on same level due to ice and snow, initial encounter"
5225,T86891 ,10,Other transplanted tissue failure
5226,I69054 ,10,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
5227,85202  ,9,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
5228,V4283  ,9,Pancreas replaced by transplant
5229,E103519,10,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"
5230,H18422 ,10,"Band keratopathy, left eye"
5231,T86890 ,10,Other transplanted tissue rejection
5232,99686  ,9,Complications of transplanted pancreas
5233,E103599,10,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye"
5234,Z9483  ,10,Pancreas transplant status
5235,00869  ,9,Enteritis due to other viral enteritis
5236,05881  ,9,Human herpesvirus 6 infection
5237,Q969   ,10,"Turner's syndrome, unspecified"
5238,99590  ,9,"Systemic inflammatory response syndrome, unspecified"
5239,37749  ,9,Other disorders of optic nerve
5240,R442   ,10,Other hallucinations
5241,E9356  ,9,Antirheumatics [antiphlogistics] causing adverse effects in therapeutic use
5242,M13862 ,10,"Other specified arthritis, left knee"
5243,80136  ,9,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
5244,44321  ,9,Dissection of carotid artery
5245,8088   ,9,Closed unspecified fracture of pelvis
5246,E8160  ,9,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring driver of motor vehicle other than motorcycle"
5247,1974   ,9,Secondary malignant neoplasm of small intestine including duodenum
5248,27731  ,9,Familial Mediterranean fever
5249,9698   ,9,Poisoning by other specified psychotropic agents
5250,E8548  ,9,Accidental poisoning by other psychotropic agents
5251,T82338A,10,"Leakage of other vascular grafts, initial encounter"
5252,G039   ,10,"Meningitis, unspecified"
5253,7424   ,9,Other specified congenital anomalies of brain
5254,56962  ,9,Mechanical complication of colostomy and enterostomy
5255,34292  ,9,"Hemiplegia, unspecified, affecting nondominant side"
5256,30562  ,9,"Cocaine abuse, episodic"
5257,80020  ,9,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness"
5258,99581  ,9,Adult physical abuse
5259,E9670  ,9,"Perpetrator of child and adult abuse, by father, stepfather, or boyfriend"
5260,K52831 ,10,Collagenous colitis
5261,I70219 ,10,"Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity"
5262,B09    ,10,Unspecified viral infection characterized by skin and mucous membrane lesions
5263,2740   ,9,Gouty arthropathy
5264,88111  ,9,"Open wound of elbow, complicated"
5265,71239  ,9,"Chondrocalcinosis, unspecified, multiple sites"
5266,71230  ,9,"Chondrocalcinosis, unspecified, site unspecified"
5267,71233  ,9,"Chondrocalcinosis, unspecified, forearm"
5268,71236  ,9,"Chondrocalcinosis, unspecified, lower leg"
5269,72704  ,9,Radial styloid tenosynovitis
5270,71653  ,9,"Unspecified polyarthropathy or polyarthritis, forearm"
5271,2733   ,9,Macroglobulinemia
5272,4243   ,9,Pulmonary valve disorders
5273,46430  ,9,Acute epiglottitis without mention of obstruction
5274,E9413  ,9,Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use
5275,99779  ,9,Vascular complications of other vessels
5276,44284  ,9,Aneurysm of other visceral artery
5277,S42202A,10,"Unspecified fracture of upper end of left humerus, initial encounter for closed fracture"
5278,N9989  ,10,Other postprocedural complications and disorders of genitourinary system
5279,N719   ,10,"Inflammatory disease of uterus, unspecified"
5280,I5189  ,10,Other ill-defined heart diseases
5281,30421  ,9,"Cocaine dependence, continuous"
5282,T426X1A,10,"Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter"
5283,Y92511 ,10,Restaurant or cafe as the place of occurrence of the external cause
5284,F1510  ,10,"Other stimulant abuse, uncomplicated"
5285,E441   ,10,Mild protein-calorie malnutrition
5286,T85520A,10,"Displacement of bile duct prosthesis, initial encounter"
5287,I82891 ,10,Chronic embolism and thrombosis of other specified veins
5288,K82A1  ,10,Gangrene of gallbladder in cholecystitis
