,code,description,label,amountuom,derived_unit_normalization_factor,dose_impact
427,229861,Sodium Acetate.,Sodium Acetate.,mEq,1,Y
428,220995,Sodium Bicarbonate 8.4%,Sodium Bicarbonate 8.4%,/hour,60,Y
429,220995,Sodium Bicarbonate 8.4%,Sodium Bicarbonate 8.4%,mEq,1,Y
430,227533,Sodium Bicarbonate 8.4% (Amp),Sodium Bicarbonate 8.4% (Amp),ml,1,Y
431,225943,Solution,Solution,ml,1,Y
432,225944,Sterile Water,Sterile Water,ml,1,Y
433,225916,TPN w/ Lipids,TPN w/ Lipids,ml,1,Y
434,225917,TPN without Lipids,TPN without Lipids,ml,1,Y
435,228003,Tamiflu,Tamiflu,dose,1,N
436,228003,Tamiflu,Tamiflu,mg,1,N
437,225157,Tirofiban (Aggrastat),Tirofiban (Aggrastat),mg,1,N
438,225902,Tobramycin,Tobramycin,dose,1,N
439,225902,Tobramycin,Tobramycin,mg,1,N
440,229066,Treprostinil (Remodulin),Treprostinil (Remodulin),mcg,1,N
441,229066,Treprostinil (Remodulin),Treprostinil (Remodulin),mg,1,N
442,228364,Two Cal HN (1/2),Two Cal HN (1/2),ml,1,Y
443,228367,Two Cal HN (Full),Two Cal HN (Full),ml,1,Y
444,225798,Vancomycin,Vancomycin,dose,1,N
445,225798,Vancomycin,Vancomycin,grams,1,N
446,225798,Vancomycin,Vancomycin,mcg,1,N
447,225798,Vancomycin,Vancomycin,mg,1,N
448,222315,Vasopressin,Vasopressin,units,1,Y
449,222318,Verapamil,Verapamil,mg,1,N
450,229012,Vital 1.5 (Full),Vital 1.5 (Full),ml,1,Y
451,229296,Vital High Protein (Full),Vital High Protein (Full),ml,1,Y
452,227535,Vitamin K (Phytonadione),Vitamin K (Phytonadione),mcg,1,N
453,227535,Vitamin K (Phytonadione),Vitamin K (Phytonadione),mg,1,N
454,226059,Vivonex (1/2),Vivonex (1/2),ml,1,Y
455,226058,Vivonex (3/4),Vivonex (3/4),ml,1,Y
456,225934,Vivonex (Full),Vivonex (Full),ml,1,Y
457,225837,Acyclovir,Acyclovir,dose,1,N
458,225837,Acyclovir,Acyclovir,grams,1,N
459,225837,Acyclovir,Acyclovir,mcg,1,N
460,225837,Acyclovir,Acyclovir,mg,1,N
461,225873,Gancyclovir,Gancyclovir,dose,1,N
462,225873,Gancyclovir,Gancyclovir,mg,1,N
463,225903,Valgancyclovir,Valgancyclovir,dose,1,N
464,225859,Ciprofloxacin,Ciprofloxacin,dose,1,N
465,225859,Ciprofloxacin,Ciprofloxacin,grams,1,N
466,225859,Ciprofloxacin,Ciprofloxacin,mg,1,N
467,225879,Levofloxacin,Levofloxacin,dose,1,N
468,225879,Levofloxacin,Levofloxacin,grams,1,N
469,225879,Levofloxacin,Levofloxacin,mg,1,N
470,225886,Moxifloxacin,Moxifloxacin,dose,1,N
471,225886,Moxifloxacin,Moxifloxacin,mg,1,N
