,code,description,target_code,target_description,aggregation,dose_impact
427,229861,Sodium Acetate.,group_177,Sodium Acetate,sum,Y
428,220995,Sodium Bicarbonate 8.4%,group_178,Sodium Bicarbonate,sum,Y
429,220995,Sodium Bicarbonate 8.4%,group_178,Sodium Bicarbonate,sum,Y
430,227533,Sodium Bicarbonate 8.4% (Amp),group_178,Sodium Bicarbonate,sum,Y
431,225943,Solution,group_179,Solution,sum,Y
432,225944,Sterile Water,group_180,Sterile Water,sum,Y
433,225916,TPN w/ Lipids,group_181,TPN w/ Lipids,sum,Y
434,225917,TPN without Lipids,group_182,TPN without Lipids,sum,Y
435,228003,Tamiflu,group_183,Tamiflu,or,N
436,228003,Tamiflu,group_183,Tamiflu,or,N
437,225157,Tirofiban (Aggrastat),group_184,Tirofiban (Aggrastat),or,N
438,225902,Tobramycin,group_185,Tobramycin,or,N
439,225902,Tobramycin,group_185,Tobramycin,or,N
440,229066,Treprostinil (Remodulin),group_186,Treprostinil (Remodulin),or,N
441,229066,Treprostinil (Remodulin),group_186,Treprostinil (Remodulin),or,N
442,228364,Two Cal HN (1/2),group_187,Two Cal HN,w_sum,Y
443,228367,Two Cal HN (Full),group_187,Two Cal HN,w_sum,Y
444,225798,Vancomycin,group_188,Vancomycin,or,N
445,225798,Vancomycin,group_188,Vancomycin,or,N
446,225798,Vancomycin,group_188,Vancomycin,or,N
447,225798,Vancomycin,group_188,Vancomycin,or,N
448,222315,Vasopressin,group_189,Vasopressin,sum,Y
449,222318,Verapamil,group_190,Verapamil,or,N
450,229012,Vital 1.5 (Full),group_191,Vital 1.5 (Full),sum,Y
451,229296,Vital High Protein (Full),group_192,Vital High Protein (Full),sum,Y
452,227535,Vitamin K (Phytonadione),group_193,Vitamin K (Phytonadione),or,N
453,227535,Vitamin K (Phytonadione),group_193,Vitamin K (Phytonadione),or,N
454,226059,Vivonex (1/2),group_194,Vivonex,w_sum,Y
455,226058,Vivonex (3/4),group_194,Vivonex,w_sum,Y
456,225934,Vivonex (Full),group_194,Vivonex,w_sum,Y
457,225837,Acyclovir,group_195,XXXcyclovir,or,N
458,225837,Acyclovir,group_195,XXXcyclovir,or,N
459,225837,Acyclovir,group_195,XXXcyclovir,or,N
460,225837,Acyclovir,group_195,XXXcyclovir,or,N
461,225873,Gancyclovir,group_195,XXXcyclovir,or,N
462,225873,Gancyclovir,group_195,XXXcyclovir,or,N
463,225903,Valgancyclovir,group_195,XXXcyclovir,or,N
464,225859,Ciprofloxacin,group_196,XXXfloxacin,or,N
465,225859,Ciprofloxacin,group_196,XXXfloxacin,or,N
466,225859,Ciprofloxacin,group_196,XXXfloxacin,or,N
467,225879,Levofloxacin,group_196,XXXfloxacin,or,N
468,225879,Levofloxacin,group_196,XXXfloxacin,or,N
469,225879,Levofloxacin,group_196,XXXfloxacin,or,N
470,225886,Moxifloxacin,group_196,XXXfloxacin,or,N
471,225886,Moxifloxacin,group_196,XXXfloxacin,or,N
