NOTE: NEW CODES ARE INTRODUCED IN OCTOBER AND OLD CODES ARE PHASED OUT IN SEPTEMBER.
'ICD-9-CM CODE','CCS CATEGORY','CCS CATEGORY DESCRIPTION','ICD-9-CM CODE DESCRIPTION'
'320  ','42 ','OR respirato     ',"LOCAL EXCIS DESTR BRONC LES (Begin 1980 End 1989)"
'3209 ','42 ','OR respirato     ',"OTHER DESTRUC BRONC LES (Begin 1989)"
'321  ','42 ','OR respirato     ',"OTHER BRONCHIAL EXCISION"
'326  ','42 ','OR respirato     ',"RAD DISSEC THORAC STRUCT"
'329  ','42 ','OR respirato     ',"OTHER EXCISION OF LUNG"
'330  ','42 ','OR respirato     ',"INCISION OF BRONCHUS"
'331  ','42 ','OR respirato     ',"INCISION OF LUNG"
'3334 ','42 ','OR respirato     ',"THORACOPLASTY"
'3339 ','42 ','OR respirato     ',"SURG COLLAPS OF LUNG NEC"
'3341 ','42 ','OR respirato     ',"BRONCHIAL LACERAT SUTURE"
'3342 ','42 ','OR respirato     ',"BRONCHIAL FISTULA CLOS"
'3343 ','42 ','OR respirato     ',"LUNG LACERATION CLOSURE"
'3348 ','42 ','OR respirato     ',"BRONCHIAL REPAIR NEC"
'3349 ','42 ','OR respirato     ',"LUNG REPAIR NEC"
'3392 ','42 ','OR respirato     ',"BRONCHIAL LIGATION"
'3393 ','42 ','OR respirato     ',"PUNCTURE OF LUNG"
'3398 ','42 ','OR respirato     ',"BRONCHIAL OPERATION NEC"
'3399 ','42 ','OR respirato     ',"LUNG OPERATION NEC"
'3401 ','42 ','OR respirato     ',"INCISION OF CHEST WALL"
'3403 ','42 ','OR respirato     ',"REOPEN THORACOTOMY SITE"
'3405 ','42 ','OR respirato     ',"CREATION PLEUROPERITONEAL SHUNT (Begin 1994)"
'341  ','42 ','OR respirato     ',"INCISION OF MEDIASTINUM"
'343  ','42 ','OR respirato     ',"DESTRUCT MEDIASTIN LES"
'344  ','42 ','OR respirato     ',"DESTRUCT CHEST WALL LES"
'3451 ','42 ','OR respirato     ',"DECORTICATION OF LUNG"
'3452 ','42 ','OR respirato     ',"THORACOSCOPC DECORT LUNG (Begin 2007)"
'3459 ','42 ','OR respirato     ',"OTHER PLEURAL EXCISION"
'346  ','42 ','OR respirato     ',"SCARIFICATION OF PLEURA"
'3473 ','42 ','OR respirato     ',"CLOS THORACIC FISTUL NEC"
'3474 ','42 ','OR respirato     ',"PECTUS DEFORMITY REPAIR"
'3479 ','42 ','OR respirato     ',"OTHER CHEST WALL REPAIR"
'3481 ','42 ','OR respirato     ',"EXCISE DIAPHRAGM LESION"
'3482 ','42 ','OR respirato     ',"SUTURE DIAPHRAGM LACERAT"
'3483 ','42 ','OR respirato     ',"CLOSE DIAPHRAGM FISTULA"
'3484 ','42 ','OR respirato     ',"OTHER DIAPHRAGM REPAIR"
'3485 ','42 ','OR respirato     ',"IMPLANT DIAPHRA PACEMAKE"
'3489 ','42 ','OR respirato     ',"DIAPHRAGM OPERATION NEC"
'3493 ','42 ','OR respirato     ',"REPAIR OF PLEURA"
'3499 ','42 ','OR respirato     ',"THORACIC OPERATION NEC"
'3500 ','43 ','Heart valve      ',"CLOSED VALVOTOMY NOS"
'3501 ','43 ','Heart valve      ',"CLOSED AORTIC VALVOTOMY"
'3502 ','43 ','Heart valve      ',"CLOSED MITRAL VALVOTOMY"
'3503 ','43 ','Heart valve      ',"CLOSED PULMON VALVOTOMY"
'3504 ','43 ','Heart valve      ',"CLOSED TRICUSP VALVOTOMY"
'3505 ','43 ','Heart valve      ',"Endovas repl aortc valve (Begin 2011)"
'3506 ','43 ','Heart valve      ',"Trnsapcl rep aortc valve (Begin 2011)"
'3507 ','43 ','Heart valve      ',"Endovas repl pulm valve (Begin 2011)"
'3508 ','43 ','Heart valve      ',"Trnsapcl repl pulm valve (Begin 2011)"
'3509 ','43 ','Heart valve      ',"Endovas repl uns hrt vlv (Begin 2011)"
'3510 ','43 ','Heart valve      ',"OPEN VALVULOPLASTY NOS"
'3511 ','43 ','Heart valve      ',"OPN AORTIC VALVULOPLASTY"
'3512 ','43 ','Heart valve      ',"OPN MITRAL VALVULOPLASTY"
'3513 ','43 ','Heart valve      ',"OPN PULMON VALVULOPLASTY"
'3514 ','43 ','Heart valve      ',"OPN TRICUS VALVULOPLASTY"
'3520 ','43 ','Heart valve      ',"REPLACE HEART VALVE NOS"
'3521 ','43 ','Heart valve      ',"REPLACE AORT VALV-TISSUE"
'3522 ','43 ','Heart valve      ',"REPLACE AORTIC VALVE NEC"
'3523 ','43 ','Heart valve      ',"REPLACE MITR VALV-TISSUE"
'3524 ','43 ','Heart valve      ',"REPLACE MITRAL VALVE NEC"
'3525 ','43 ','Heart valve      ',"REPLACE PULM VALV-TISSUE"
'3526 ','43 ','Heart valve      ',"REPLACE PULMON VALVE NEC"
'3527 ','43 ','Heart valve      ',"REPLACE TRIC VALV-TISSUE"
'3528 ','43 ','Heart valve      ',"REPLACE TRICUSP VALV NEC"
'3596 ','43 ','Heart valve      ',"PERC HEART VALVULOPLASTY (Begin 1986)"
'3597 ','43 ','Heart valve      ',"Perc mtrl vlv repr w imp (Begin 2010)"
'3599 ','43 ','Heart valve      ',"OTHER HEART VALVE OPS"
'3610 ','44 ','CABG             ',"AORTOCORONARY BYPASS NOS"
'3611 ','44 ','CABG             ',"AORTOCOR BYPAS-1 COR ART"
'3612 ','44 ','CABG             ',"AORTOCOR BYPAS-2 COR ART"
'3613 ','44 ','CABG             ',"AORTOCOR BYPAS-3 COR ART"
'3614 ','44 ','CABG             ',"AORTCOR BYPAS-4+ COR ART"
'3615 ','44 ','CABG             ',"1 INT MAM-COR ART BYPASS"
'3616 ','44 ','CABG             ',"2 INT MAM-COR ART BYPASS"
'3617 ','44 ','CABG             ',"ABD-CORON ART BYPASS (Begin 1996)"
'3619 ','44 ','CABG             ',"HRT REVAS BYPS ANAS NEC"
'362  ','44 ','CABG             ',"ARTERIAL IMPLANT REVASC"
'363  ','44 ','CABG             ',"HEART REVASCULARIZAT NEC (End 1998)"
'3631 ','44 ','CABG             ',"OPEN CHEST TRANSMYO REVASC (Begin 1998)"
'3632 ','44 ','CABG             ',"OTH TRANSMYO REVASC (Begin 1998)"
'3633 ','44 ','CABG             ',"ENDO TRANSMYO REVASCULAR (Begin 2006)"
'3634 ','44 ','CABG             ',"PERC TRANSMYO REVASCULAR (Begin 2006)"
'3639 ','44 ','CABG             ',"OTHER HEART REVASC (Begin 1998)"
'0066 ','45 ','PTCA             ',"PTCA OR CORONARY ATHER (Begin 2005)"
'1755 ','45 ','PTCA             ',"Translum cor atherectomy (Begin 2011)"
'3601 ','45 ','PTCA             ',"PTCA-1 VESSEL W/O AGENT (Begin 1986 End 2005)"
'3602 ','45 ','PTCA             ',"PTCA-1 VESSEL WITH AGNT (Begin 1986 End 2005)"
'3605 ','45 ','PTCA             ',"PTCA-MULTIPLE VESSEL (Begin 1986 End 2005)"
'3604 ','46 ','Thrombolysis     ',"INTRCORONRY THROMB INFUS (Begin 1986)"
'3721 ','47 ','Cardiac cath     ',"RT HEART CARDIAC CATH"
'3722 ','47 ','Cardiac cath     ',"LEFT HEART CARDIAC CATH"
'3723 ','47 ','Cardiac cath     ',"RT/LEFT HEART CARD CATH"
'8852 ','47 ','Cardiac cath     ',"RT HEART ANGIOCARDIOGRAM"
'8853 ','47 ','Cardiac cath     ',"LT HEART ANGIOCARDIOGRAM"
'8854 ','47 ','Cardiac cath     ',"RT & LT HEART ANGIOCARD"
'8855 ','47 ','Cardiac cath     ',"CORONAR ARTERIOGR-1 CATH"
'8856 ','47 ','Cardiac cath     ',"CORONAR ARTERIOGR-2 CATH"
'8857 ','47 ','Cardiac cath     ',"CORONARY ARTERIOGRAM NEC"
'0050 ','48 ','Pacemaker        ',"IMPLA RESYNCHR PACEMAKER W/0 DEFIBRI (Begin 2002)"
'0051 ','48 ','Pacemaker        ',"IMPLA RESYNCHRONIZATION DEFIBRILLATOR (Begin 2002)"
'0052 ','48 ','Pacemaker        ',"IMPL/REPL TRANSVENOUS LEAD LF VENTRI (Begin 2002)"
'0053 ','48 ','Pacemaker        ',"IMPL/REPL PACEMAKER; PLSE GENRATR ONLY (Begin 2002)"
'0054 ','48 ','Pacemaker        ',"IMPL/REPL DEFIBRIL GENERATOR ONLY (Begin 2002)"
'0056 ','48 ','Pacemaker        ',"INS/REP IMPL SENSOR LEAD (Begin 2006)"
'0057 ','48 ','Pacemaker        ',"IMP/REP SUBCUE CARD DEV (Begin 2006)"
'1751 ','48 ','Pacemaker        ',"Implant CCM"
'1752 ','48 ','Pacemaker        ',"Implant CCM pulse genrtr (Begin 2009)"
'3770 ','48 ','Pacemaker        ',"INT INSERT PACEMAK LEAD (Begin 1987)"
'3771 ','48 ','Pacemaker        ',"INT INSERT LEAD IN VENT (Begin 1987)"
'3772 ','48 ','Pacemaker        ',"INT INSER LEAD ATRI-VENT (Begin 1987)"
'3773 ','48 ','Pacemaker        ',"INT INSER LEAD IN ATRIUM (Begin 1987)"
'3774 ','48 ','Pacemaker        ',"INT OR REPL LEAD EPICAR (Begin 1987)"
'3775 ','48 ','Pacemaker        ',"REVISION OF LEAD (Begin 1987)"
'3776 ','48 ','Pacemaker        ',"REPL TV ATRI-VENT LEAD (Begin 1987)"
'3777 ','48 ','Pacemaker        ',"REMOVAL OF LEAD W/O REPL (Begin 1987)"
'3778 ','48 ','Pacemaker        ',"INSER TEMP PACEMAKER SYS (Begin 1987)"
'3779 ','48 ','Pacemaker        ',"REVIS OR RELOCATE POCKET (Begin 1987)"
'3780 ','48 ','Pacemaker        ',"INT OR REPL PERM PACEMKR (Begin 1987)"
'3781 ','48 ','Pacemaker        ',"INT INSERT 1-CHAM; NON (Begin 1987)"
'3782 ','48 ','Pacemaker        ',"INT INSERT 1-CHAM; RATE (Begin 1987)"
'3783 ','48 ','Pacemaker        ',"INT INSERT DUAL-CHAM DEV (Begin 1987)"
'3785 ','48 ','Pacemaker        ',"REPL PACEM W 1-CHAM; NON (Begin 1987)"
'3786 ','48 ','Pacemaker        ',"REPL PACEM 1-CHAM; RATE (Begin 1987)"
'3787 ','48 ','Pacemaker        ',"REPL PACEM W DUAL-CHAM (Begin 1987)"
'3789 ','48 ','Pacemaker        ',"REVISE OR REMOVE PACEMAK (Begin 1987)"
'3794 ','48 ','Pacemaker        ',"IMPLT/REPL CARDDEFIB TOT (Begin 1986)"
'3795 ','48 ','Pacemaker        ',"IMPLT CARDIODEFIB LEADS (Begin 1986)"
'3796 ','48 ','Pacemaker        ',"IMPLT CARDIODEFIB GENATR (Begin 1986)"
'3797 ','48 ','Pacemaker        ',"REPL CARDIODEFIB LEADS (Begin 1986)"
'3798 ','48 ','Pacemaker        ',"REPL CARDIODEFIB GENRATR (Begin 1986)"
'3531 ','49 ','Ot OR heart      ',"PAPILLARY MUSCLE OPS"
'3532 ','49 ','Ot OR heart      ',"CHORDAE TENDINEAE OPS"
'3533 ','49 ','Ot OR heart      ',"ANNULOPLASTY"
'3534 ','49 ','Ot OR heart      ',"INFUNDIBULECTOMY"
'3535 ','49 ','Ot OR heart      ',"TRABECUL CARNEAE CORD OP"
'3539 ','49 ','Ot OR heart      ',"TISS ADJ TO VALV OPS NEC"
'3541 ','49 ','Ot OR heart      ',"ENLARGE EXISTING SEP DEF"
'3542 ','49 ','Ot OR heart      ',"CREATE SEPTAL DEFECT"
'3550 ','49 ','Ot OR heart      ',"PROSTH REP HRT SEPTA NOS"
'3551 ','49 ','Ot OR heart      ',"PROS REP ATRIAL DEF-OPN"
'3552 ','49 ','Ot OR heart      ',"PROS REPAIR ATRIA DEF-CL"
'3553 ','49 ','Ot OR heart      ',"PROST REPAIR VENTRIC DEF"
'3554 ','49 ','Ot OR heart      ',"PROS REP ENDOCAR CUSHION"
'3555 ','49 ','Ot OR heart      ',"PROS REP VENTRC DEF-CLOS (Begin 2006)"
'3560 ','49 ','Ot OR heart      ',"GRFT REPAIR HRT SEPT NOS"
'3561 ','49 ','Ot OR heart      ',"GRAFT REPAIR ATRIAL DEF"
'3562 ','49 ','Ot OR heart      ',"GRAFT REPAIR VENTRIC DEF"
'3563 ','49 ','Ot OR heart      ',"GRFT REP ENDOCAR CUSHION"
'3570 ','49 ','Ot OR heart      ',"HEART SEPTA REPAIR NOS"
'3571 ','49 ','Ot OR heart      ',"ATRIA SEPTA DEF REP NEC"
'3572 ','49 ','Ot OR heart      ',"VENTR SEPTA DEF REP NEC"
'3573 ','49 ','Ot OR heart      ',"ENDOCAR CUSHION REP NEC"
'3581 ','49 ','Ot OR heart      ',"TOT REPAIR TETRAL FALLOT"
'3582 ','49 ','Ot OR heart      ',"TOTAL REPAIR OF TAPVC"
'3583 ','49 ','Ot OR heart      ',"TOT REP TRUNCUS ARTERIOS"
'3584 ','49 ','Ot OR heart      ',"TOT COR TRANSPOS GRT VES (Begin 1988)"
'3591 ','49 ','Ot OR heart      ',"INTERAT VEN RETRN TRANSP"
'3592 ','49 ','Ot OR heart      ',"CONDUIT RT VENT-PUL ART"
'3593 ','49 ','Ot OR heart      ',"CONDUIT LEFT VENTR-AORTA"
'3594 ','49 ','Ot OR heart      ',"CONDUIT ARTIUM-PULM ART"
'3595 ','49 ','Ot OR heart      ',"HEART REPAIR REVISION"
'3598 ','49 ','Ot OR heart      ',"OTHER HEART SEPTA OPS"
'3600 ','49 ','Ot OR heart      ',"REM OBSTR NOS (Begin 1986 End 1991)"
'3603 ','49 ','Ot OR heart      ',"OPEN CORONRY ANGIOPLASTY (Begin 1986)"
'3609 ','49 ','Ot OR heart      ',"(OTH)REM COR ART OBST(NEC) (Begin 1986)"
'3691 ','49 ','Ot OR heart      ',"CORON VESS ANEURYSM REP"
'3699 ','49 ','Ot OR heart      ',"HEART VESSEL OP NEC"
'3710 ','49 ','Ot OR heart      ',"INCISION OF HEART NOS"
'3711 ','49 ','Ot OR heart      ',"CARDIOTOMY"
'3712 ','49 ','Ot OR heart      ',"PERICARDIOTOMY"
'3731 ','49 ','Ot OR heart      ',"PERICARDIECTOMY"
'3732 ','49 ','Ot OR heart      ',"HEART ANEURYSM EXCISION"
'3733 ','49 ','Ot OR heart      ',"EXC(/DEST) OTH HRT LESION (Begin 1988)"
'3734 ','49 ','Ot OR heart      ',"CATH ABLATION LES HEART (Begin 1988)"
'3735 ','49 ','Ot OR heart      ',"PARTIAL VENTRICULECTOMY (Begin 1997)"
'3736 ','49 ','Ot OR heart      ',"EXC LEFT ATRIAL APPENDAG (Begin 2008)"
'3737 ','49 ','Ot OR heart      ',"Exc/dest hrt les thrspc (Begin 2010)"
'374  ','49 ','Ot OR heart      ',"HEART & PERICARD REPAIR"
'3741 ','49 ','Ot OR heart      ',"IMPL CARDIAC SUPPORT DEV (Begin 2005)"
'3749 ','49 ','Ot OR heart      ',"HEART/PERICARD REPR NEC (Begin 2005)"
'3752 ','49 ','Ot OR heart      ',"IMPLANTATION OF TOTAL REPLACEMENT HEART SYST (Begin 2003)"
'3753 ','49 ','Ot OR heart      ',"REPLACEMENT OR REPAIR OF THORACIC UNIT OF TO (Begin 2003)"
'3754 ','49 ','Ot OR heart      ',"REPLACEMENT OR REPAIR OF OTHER IMPLANTABLE C (Begin 2003)"
'3755 ','49 ','Ot OR heart      ',"REM INT BIVENT HRT SYS (Begin 2008)"
'3760 ','49 ','Ot OR heart      ',"IMP BIVN EXT HRT AST SYS (Begin 2008)"
'3761 ','49 ','Ot OR heart      ',"PULSATION BALLOON IMPLAN"
'3762 ','49 ','Ot OR heart      ',"IMPLANT HRT ASST SYS NEC"
'3763 ','49 ','Ot OR heart      ',"REPLACE HRT ASSIST SYST"
'3764 ','49 ','Ot OR heart      ',"REMOVE HEART ASSIST SYS"
'3765 ','49 ','Ot OR heart      ',"IMPL EXTERN HEART ASSIST (Begin 1995)"
'3766 ','49 ','Ot OR heart      ',"IMPL INTERN HEART ASSIST (Begin 1995)"
'3767 ','49 ','Ot OR heart      ',"IMPLANT CARDIOMYOSTIM SYS (Begin 1998)"
'3768 ','49 ','Ot OR heart      ',"PERCUTAN HRT ASSIST SYST (Begin 2004)"
'3790 ','49 ','Ot OR heart      ',"INS LEFT ATR APPEND DEV (Begin 2004)"
'3791 ','49 ','Ot OR heart      ',"OPN CHEST CARDIAC MASSAG"
'3799 ','49 ','Ot OR heart      ',"OTHER HEART/PERICARD OPS"
'3961 ','50 ','Extrcor circ     ',"EXTRACORPOREAL CIRCULAT"
'3962 ','50 ','Extrcor circ     ',"HYPOTHERMIA W OPEN HEART"
'3963 ','50 ','Extrcor circ     ',"CARDIOPLEGIA"
'3964 ','50 ','Extrcor circ     ',"INTRAOP CARDIAC PACEMAK"
'3965 ','50 ','Extrcor circ     ',"EXTRACORPOREAL MEMB OXY (Begin 1988)"
'3966 ','50 ','Extrcor circ     ',"PER CARDIOPULMON BYPASS (Begin 1990)"
'3811 ','51 ','Endarterecto     ',"ENDARTER INTRACRANIAL"
'3812 ','51 ','Endarterecto     ',"HEAD & NECK ENDARTER NEC"
'3834 ','52 ','Aort resect      ',"AORTA RESECTION & ANAST"
'3844 ','52 ','Aort resect      ',"RESECT ABDM AORTA W REPL (Begin 1986)"
'3864 ','52 ','Aort resect      ',"EXCISION OF AORTA"
'3971 ','52 ','Aort resect      ',"ENDOVASCULAR IMPLANT IN ABDM AORTA (Begin 2000)"
'3973 ','52 ','Aort resect      ',"ENDO IMP GRFT THOR AORTA (Begin 2005)"
'3978 ','52 ','Aort resect      ',"Endovas impln grft aorta (Begin 2011)"
'3859 ','53 ','Varic vein       ',"LEG VARICOS V LIGA-STRIP"
'3891 ','54 ','Ot vasc cath     ',"ARTERIAL CATHETERIZATION"
'3892 ','54 ','Ot vasc cath     ',"UMBILICAL VEIN CATH"
'3893 ','54 ','Ot vasc cath     ',"OTHER VENOUS CATH (NEC) (Begin 1989)"
'3897 ','54 ','Ot vasc cath     ',"CV cath plcmt w guidance (Begin 2010)"
'3925 ','55 ','Peri vas byp     ',"AORTA-ILIAC-FEMOR BYPASS"
'3929 ','55 ','Peri vas byp     ',"VASC SHUNT & BYPASS NEC"
'390  ','56 ','Ot vas byp       ',"SYSTEMIC-PULM ART SHUNT"
'391  ','56 ','Ot vas byp       ',"INTRA-ABD VENOUS SHUNT"
'3921 ','56 ','Ot vas byp       ',"CAVAL-PULMON ART ANASTOM"
'3922 ','56 ','Ot vas byp       ',"AORTA-SUBCLV-CAROT BYPAS"
'3923 ','56 ','Ot vas byp       ',"INTRATHORACIC SHUNT NEC"
'3924 ','56 ','Ot vas byp       ',"AORTA-RENAL BYPASS"
'3926 ','56 ','Ot vas byp       ',"INTRA-ABDOMIN SHUNT NEC"
'3928 ','56 ','Ot vas byp       ',"EXTRACRAN-INTRACR BYPASS (Begin 1991)"
'3927 ','57 ','AV fistula       ',"DIALYSIS ARTERIOVENOSTOM"
'3942 ','57 ','AV fistula       ',"REVIS REN DIALYSIS SHUNT"
'3943 ','57 ','AV fistula       ',"REMOV REN DIALYSIS SHUNT"
'3993 ','57 ','AV fistula       ',"INSERT VES-TO-VES CANNUL"
'3995 ','58 ','Hemodialysis     ',"HEMODIALYSIS"
'0061 ','59 ','Vesl hed/nck     ',"PERC ANGIO PRECEREB VESS (Begin 2004)"
'0062 ','59 ','Vesl hed/nck     ',"PERC ANGIO INTRACRAN VES (Begin 2004)"
'0063 ','59 ','Vesl hed/nck     ',"PERC INS CAROTID STENT (Begin 2004)"
'0064 ','59 ','Vesl hed/nck     ',"PERC INS PRECEREB STENT (Begin 2004)"
'0065 ','59 ','Vesl hed/nck     ',"PERC INS INTRACRAN STENT (Begin 2004)"
'1753 ','59 ','Vesl hed/nck     ',"Perc ather extracran vsl (Begin 2011)"
'1754 ','59 ','Vesl hed/nck     ',"Perc ather intracran vsl (Begin 2011)"
'3801 ','59 ','Vesl hed/nck     ',"INTRACRAN VESSEL INCIS"
'3802 ','59 ','Vesl hed/nck     ',"HEAD/NECK VES INCIS NEC"
'3831 ','59 ','Vesl hed/nck     ',"INTRACRAN VES RESEC-ANAS"
'3832 ','59 ','Vesl hed/nck     ',"HEAD/NECK VES RESEC-ANAS"
'3841 ','59 ','Vesl hed/nck     ',"INTRACRAN VES RESEC-REPL"
'3842 ','59 ','Vesl hed/nck     ',"HEAD/NECK VES RESEC-REPL"
'3851 ','59 ','Vesl hed/nck     ',"INTCRAN VAR V LIG-STRIP"
'3852 ','59 ','Vesl hed/nck     ',"HEAD/NECK VAR V LIG-STR"
'3861 ','59 ','Vesl hed/nck     ',"INTRACRAN VESSEL EXCIS"
'3862 ','59 ','Vesl hed/nck     ',"HEAD/NECK VESSEL EXCIS"
'3881 ','59 ','Vesl hed/nck     ',"OCCLUS INTRACRAN VES NEC"
'3882 ','59 ','Vesl hed/nck     ',"OCCLUS HEAD/NECK VES NEC"
'3972 ','59 ','Vesl hed/nck     ',"ENDOVAS REPAIR/OCCL HEAD & NECK VESSELS (Begin 2002)"
'3974 ','59 ','Vesl hed/nck     ',"ENDO REM OBS HD/NECK VES (Begin 2006)"
'3975 ','59 ','Vesl hed/nck     ',"Endo emb hd/nk"
'3976 ','59 ','Vesl hed/nck     ',"Endo em hd/nk"
'3981 ','59 ','Vesl hed/nck     ',"Imp crtd sinus stmtotl (Begin 2010)"
'3982 ','59 ','Vesl hed/nck     ',"Imp/rep crtd sinus lead (Begin 2010)"
'3983 ','59 ','Vesl hed/nck     ',"Imp/rep crtd sinus gnrtr (Begin 2010)"
'3984 ','59 ','Vesl hed/nck     ',"Rev crtd sinus stm leads (Begin 2010)"
'3985 ','59 ','Vesl hed/nck     ',"Rev crtd sinus pulse gen (Begin 2010)"
'3986 ','59 ','Vesl hed/nck     ',"Rem crtd sinus stm totl (Begin 2010)"
'3987 ','59 ','Vesl hed/nck     ',"Rem crtd sinus stm lead (Begin 2010)"
'3988 ','59 ','Vesl hed/nck     ',"Rem crtd sinus pulse gen (Begin 2010)"
'3989 ','59 ','Vesl hed/nck     ',"Oth cartd body/sinus op (Begin 2010)"
'3808 ','60 ','Vessel leg       ',"EMBOLECTOMY LEG VESSEL"
'3818 ','60 ','Vessel leg       ',"ENDARTERECTOMY LEG VESL"
'0040 ','61 ','Ot vessels       ',"PROCEDURE-ONE VESSEL (Begin 2005)"
'0041 ','61 ','Ot vessels       ',"PROCEDURE-TWO VESSELS (Begin 2005)"
'0042 ','61 ','Ot vessels       ',"PROCEDURE-THREE VESSELS (Begin 2005)"
'0043 ','61 ','Ot vessels       ',"PROCEDURE-FOUR+ VESSELS (Begin 2005)"
'0044 ','61 ','Ot vessels       ',"PROC-VESSEL BIFURCATION (Begin 2006)"
'0045 ','61 ','Ot vessels       ',"INSERT 1 VASCULAR STENT (Begin 2005)"
'0046 ','61 ','Ot vessels       ',"INSERT 2 VASCULAR STENTS (Begin 2005)"
'0047 ','61 ','Ot vessels       ',"INSERT 3 VASCULAR STENTS (Begin 2005)"
'0048 ','61 ','Ot vessels       ',"INSERT 4+ VASCULR STENTS (Begin 2005)"
'0055 ','61 ','Ot vessels       ',"INSERT DRUG-ELUTING NONCRNRY ARTRY STNT (Begin 2002)"
'1756 ','61 ','Ot vessels       ',"Ather oth non-cor vessel (Begin 2011)"
'1771 ','61 ','Ot vessels       ',"Non-coronary IFVA (Begin 2010)"
'3800 ','61 ','Ot vessels       ',"INCISION OF VESSEL NOS"
'3803 ','61 ','Ot vessels       ',"UPPER LIMB VESSEL INCIS"
'3804 ','61 ','Ot vessels       ',"INCISION OF AORTA"
'3805 ','61 ','Ot vessels       ',"THORACIC VESSEL INC NEC"
'3806 ','61 ','Ot vessels       ',"ABDOMEN ARTERY INCISION"
'3807 ','61 ','Ot vessels       ',"ABDOMINAL VEIN INCISION"
'3809 ','61 ','Ot vessels       ',"LOWER LIMB VEIN INCISION"
'3810 ','61 ','Ot vessels       ',"ENDARTERECTOMY NOS"
'3813 ','61 ','Ot vessels       ',"UPPER LIMB ENDARTERECTOM"
'3814 ','61 ','Ot vessels       ',"ENDARTERECTOMY OF AORTA"
'3815 ','61 ','Ot vessels       ',"THORACIC ENDARTERECTOMY"
'3816 ','61 ','Ot vessels       ',"ABDOMINAL ENDARTERECTOMY"
'3830 ','61 ','Ot vessels       ',"VESSEL RESECT/ANAST NOS"
'3833 ','61 ','Ot vessels       ',"ARM VESSEL RESECT/ANAST"
'3835 ','61 ','Ot vessels       ',"THOR VESSEL RESECT/ANAST"
'3836 ','61 ','Ot vessels       ',"ABD VESSEL RESECT/ANAST"
'3837 ','61 ','Ot vessels       ',"ABD VEIN RESECT & ANAST"
'3838 ','61 ','Ot vessels       ',"LEG ARTERY RESECT/ANAST"
'3839 ','61 ','Ot vessels       ',"LEG VEIN RESECT/ANASTOM"
'3840 ','61 ','Ot vessels       ',"VESSEL RESECT/REPLAC NOS"
'3843 ','61 ','Ot vessels       ',"ARM VES RESECT W REPLACE"
'3845 ','61 ','Ot vessels       ',"RESECT THORAC VES W REPL (Begin 1986)"
'3846 ','61 ','Ot vessels       ',"ABD ARTERY RESEC W REPLA"
'3847 ','61 ','Ot vessels       ',"ABD VEIN RESECT W REPLAC"
'3848 ','61 ','Ot vessels       ',"LEG ARTERY RESEC W REPLA"
'3849 ','61 ','Ot vessels       ',"LEG VEIN RESECT W REPLAC"
'3850 ','61 ','Ot vessels       ',"VARICOSE V LIG-STRIP NOS"
'3853 ','61 ','Ot vessels       ',"ARM VARICOSE V LIG-STRIP"
'3855 ','61 ','Ot vessels       ',"THORAC VAR V LIG-STRIP"
'3857 ','61 ','Ot vessels       ',"ABD VARICOS V LIGA-STRIP"
'3860 ','61 ','Ot vessels       ',"EXCISION OF VESSEL NOS"
'3863 ','61 ','Ot vessels       ',"ARM VESSEL EXCISION"
'3865 ','61 ','Ot vessels       ',"THORACIC VESSEL EXCISION"
'3866 ','61 ','Ot vessels       ',"ABDOMINAL ARTERY EXCIS"
'3867 ','61 ','Ot vessels       ',"ABDOMINAL VEIN EXCISION"
'3868 ','61 ','Ot vessels       ',"LEG ARTERY EXCISION"
'3869 ','61 ','Ot vessels       ',"LEG VEIN EXCISION"
'387  ','61 ','Ot vessels       ',"INTERRUPTION VENA CAVA"
'3880 ','61 ','Ot vessels       ',"SURG VESSEL OCCLUS NEC"
'3883 ','61 ','Ot vessels       ',"OCCLUDE ARM VESSEL NEC"
'3884 ','61 ','Ot vessels       ',"OCCLUDE AORTA NEC"
'3885 ','61 ','Ot vessels       ',"OCCLUDE THORACIC VES NEC"
'3886 ','61 ','Ot vessels       ',"OCCLUDE ABD ARTERY NEC"
'3887 ','61 ','Ot vessels       ',"OCCLUDE ABD VEIN NEC"
'3888 ','61 ','Ot vessels       ',"OCCLUDE LEG ARTERY NEC"
'3889 ','61 ','Ot vessels       ',"OCCLUDE LEG VEIN NEC"
'3930 ','61 ','Ot vessels       ',"SUTURE OF VESSEL NOS"
'3931 ','61 ','Ot vessels       ',"SUTURE OF ARTERY"
'3932 ','61 ','Ot vessels       ',"SUTURE OF VEIN"
'3941 ','61 ','Ot vessels       ',"POSTOP VASC OP HEM CONTR"
'3949 ','61 ','Ot vessels       ',"VASC PROC REVISION NEC"
'3950 ','61 ','Ot vessels       ',"ANGIOPLAST/ATHERECT (Begin 1995)"
'3951 ','61 ','Ot vessels       ',"CLIPPING OF ANEURYSM"
'3952 ','61 ','Ot vessels       ',"ANEURYSM REPAIR NEC"
'3953 ','61 ','Ot vessels       ',"ARTERIOVEN FISTULA REP"
'3954 ','61 ','Ot vessels       ',"RE-ENTRY OPERATION"
'3955 ','61 ','Ot vessels       ',"REIMPLAN ABERR RENAL VES"
'3956 ','61 ','Ot vessels       ',"REPAIR VESS W TIS PATCH"
'3957 ','61 ','Ot vessels       ',"REP VESS W SYNTH PATCH"
